timestamp,station_id,flow,occupancy,speed,hour,dayofweek,speed_30min_ahead,speed_60min_ahead
2026-04-25 15:40:00,760112,511.0,0.1148,60.1,15,5,60.6,59.8
2026-04-26 20:50:00,773245,536.0,0.0988,60.0,20,6,68.4,49.6
2026-04-27 08:05:00,718379,488.0,0.1205,60.0,8,0,59.8,50.7
2026-04-25 18:30:00,777065,279.0,0.0648,64.0,18,5,69.6,65.3
2026-04-29 05:45:00,717258,381.0,0.3099,48.5,5,2,23.9,55.5
2026-04-22 10:15:00,717825,470.0,0.1119,59.3,10,2,59.5,69.3
2026-04-27 00:00:00,763424,210.0,0.0374,70.0,0,0,69.4,62.8
2026-04-26 01:40:00,773505,151.0,0.0318,68.3,1,6,68.2,67.0
2026-04-28 20:00:00,772092,92.0,0.0413,64.8,20,1,64.9,63.2
2026-04-27 06:40:00,717755,685.0,0.2217,54.7,6,0,52.0,76.4
2026-04-28 19:10:00,773916,367.0,0.335,19.8,19,1,51.3,50.9
2026-04-30 20:00:00,767620,105.0,0.0483,64.8,20,3,64.7,64.8
2026-04-30 19:20:00,763424,521.0,0.1063,66.2,19,3,67.5,19.7
2026-04-26 08:05:00,764193,41.0,0.0216,65.3,8,6,65.2,60.0
2026-04-24 05:00:00,718389,234.0,0.0436,70.5,5,4,70.7,70.9
2026-04-24 03:35:00,717572,56.0,0.0283,64.9,3,4,65.6,64.0
2026-04-24 03:05:00,717525,6.0,0.0032,65.1,3,4,65.1,61.1
2026-04-24 20:10:00,762518,109.0,0.0511,64.8,20,4,64.6,61.5
2026-04-26 09:50:00,759914,96.0,0.0477,64.8,9,6,64.6,60.8
2026-04-25 13:45:00,717906,517.0,0.1163,59.8,13,5,60.2,68.5
2026-04-30 14:20:00,764193,125.0,0.0761,61.5,14,3,61.1,62.8
2026-04-28 14:10:00,760199,118.0,0.0666,61.8,14,1,61.7,64.5
2026-04-25 13:30:00,761325,108.0,0.0797,54.9,13,5,50.0,63.7
2026-04-22 09:55:00,767812,465.0,0.1118,59.3,9,2,59.3,61.7
2026-04-21 13:05:00,769983,595.0,0.0733,64.8,13,1,64.8,64.2
2026-04-24 08:55:00,717525,115.0,0.0641,62.4,8,4,62.4,60.7
2026-04-23 23:50:00,717832,87.0,0.0153,68.4,23,3,68.4,67.7
2026-04-24 05:10:00,763251,297.0,0.0671,69.7,5,4,69.0,66.9
2026-04-27 03:05:00,718379,62.0,0.0137,68.6,3,0,68.6,60.4
2026-04-23 08:50:00,767882,121.0,0.0711,61.6,8,3,62.1,62.5
2026-04-29 18:25:00,763251,469.0,0.2686,30.0,18,2,35.7,67.7
2026-04-26 18:05:00,776066,850.0,0.1032,61.4,18,6,62.1,47.0
2026-04-26 07:10:00,718144,26.0,0.0138,65.0,7,6,65.2,65.0
2026-04-27 15:05:00,717525,124.0,0.0732,61.3,15,0,61.0,62.7
2026-04-21 06:20:00,766749,114.0,0.0542,64.6,6,1,64.3,63.3
2026-04-21 11:05:00,717525,100.0,0.0534,62.8,11,1,62.8,65.2
2026-04-23 00:55:00,717560,10.0,0.005,65.1,0,3,64.3,65.2
2026-04-28 10:15:00,766749,106.0,0.0562,62.9,10,1,62.9,62.4
2026-04-22 00:30:00,718310,111.0,0.0193,66.4,0,2,64.6,65.4
2026-04-23 21:05:00,718410,386.0,0.0781,67.6,21,3,68.7,57.0
2026-04-27 06:25:00,716908,541.0,0.0947,66.0,6,0,65.2,54.6
2026-04-28 21:50:00,767572,259.0,0.0342,66.8,21,1,66.0,65.3
2026-04-21 02:40:00,717906,72.0,0.0166,67.6,2,1,67.5,68.7
2026-04-25 23:25:00,717906,315.0,0.0582,68.4,23,5,69.3,68.2
2026-04-21 23:20:00,717825,201.0,0.0415,68.4,23,1,68.3,68.5
2026-04-23 21:05:00,717713,386.0,0.0781,67.5,21,3,68.6,65.7
2026-04-24 06:15:00,763259,544.0,0.097,66.2,6,4,65.2,69.5
2026-04-22 19:50:00,716900,422.0,0.0862,66.1,19,2,66.3,67.7
2026-04-24 08:35:00,777065,215.0,0.0583,61.0,8,4,62.9,55.5
2026-04-21 03:40:00,717613,10.0,0.0046,65.3,3,1,65.0,64.9
2026-04-24 17:15:00,763700,125.0,0.0901,59.8,17,4,59.8,65.4
2026-04-29 02:25:00,718227,71.0,0.0168,68.5,2,2,68.3,70.3
2026-04-22 11:55:00,716253,478.0,0.1117,59.6,11,2,59.7,51.4
2026-04-23 07:40:00,774085,129.0,0.0809,61.9,7,3,61.4,63.7
2026-04-27 18:55:00,717842,444.0,0.0927,64.4,18,0,65.8,61.0
2026-04-21 01:35:00,767572,75.0,0.0161,66.9,1,1,66.7,67.2
2026-04-29 22:55:00,774085,37.0,0.0183,65.1,22,2,65.1,60.0
2026-04-28 22:05:00,774085,50.0,0.0253,65.1,22,1,65.1,61.9
2026-04-26 19:00:00,762533,107.0,0.0518,64.4,19,6,64.5,62.3
2026-04-28 15:35:00,717525,123.0,0.077,61.1,15,1,61.0,62.1
2026-04-22 06:25:00,717539,119.0,0.0606,64.3,6,2,63.9,65.0
2026-04-22 06:50:00,717110,501.0,0.1194,62.2,6,2,61.0,55.1
2026-04-24 12:45:00,772167,532.0,0.2387,31.6,12,4,34.4,32.6
2026-04-27 12:50:00,717165,582.0,0.1085,57.1,12,0,56.6,55.0
2026-04-26 20:10:00,772167,518.0,0.1003,61.1,20,6,59.8,59.7
2026-04-21 16:55:00,762588,123.0,0.0802,60.7,16,1,60.2,63.6
2026-04-25 04:25:00,764829,101.0,0.0323,66.3,4,5,66.6,66.8
2026-04-23 03:30:00,764829,82.0,0.0302,66.6,3,3,66.8,66.1
2026-04-25 11:20:00,775321,131.0,0.0715,62.3,11,5,62.1,65.1
2026-04-29 18:55:00,764417,464.0,0.1055,63.4,18,2,65.4,68.5
2026-04-30 02:40:00,717613,5.0,0.0027,64.3,2,3,65.2,65.0
2026-04-30 03:30:00,717613,9.0,0.004,64.9,3,3,65.3,62.9
2026-04-29 02:25:00,716939,83.0,0.0192,69.1,2,2,68.3,39.2
2026-04-24 09:50:00,763251,484.0,0.175,51.3,9,4,48.8,68.1
2026-04-28 09:55:00,776188,296.0,0.1634,49.1,9,1,51.6,68.3
2026-04-22 10:40:00,717249,427.0,0.1072,57.2,10,2,59.3,58.2
2026-04-25 06:55:00,775321,51.0,0.027,65.0,6,5,65.0,65.1
2026-04-25 19:45:00,761325,82.0,0.0552,61.1,19,5,64.8,65.1
2026-04-22 09:50:00,717525,112.0,0.0617,62.6,9,2,62.9,59.8
2026-04-27 10:55:00,717539,105.0,0.0563,62.9,10,0,63.0,60.9
2026-04-30 20:20:00,717185,414.0,0.088,63.8,20,3,63.3,65.8
2026-04-26 10:20:00,762518,109.0,0.053,64.6,10,6,64.2,65.3
2026-04-25 00:45:00,762533,20.0,0.0104,65.1,0,5,65.1,61.8
2026-04-30 12:40:00,776066,806.0,0.1717,56.3,12,3,58.1,70.7
2026-04-21 08:45:00,762533,117.0,0.0683,61.8,8,1,62.3,65.0
2026-04-29 16:15:00,764829,463.0,0.0943,61.4,16,2,63.8,66.7
2026-04-27 23:30:00,717249,135.0,0.0333,69.2,23,0,68.2,30.9
2026-04-22 15:45:00,717842,508.0,0.1403,57.4,15,2,56.6,67.7
2026-04-27 11:35:00,764829,399.0,0.0835,63.1,11,0,64.3,67.9
2026-04-24 17:25:00,717216,616.0,0.2498,31.5,17,4,32.8,69.4
2026-04-22 05:55:00,717539,112.0,0.048,65.0,5,2,64.3,61.5
2026-04-24 08:35:00,717165,529.0,0.0841,63.0,8,4,63.2,65.2
2026-04-22 23:05:00,717903,221.0,0.0449,68.7,23,2,68.4,58.7
2026-04-30 01:20:00,774085,7.0,0.0038,65.1,1,3,65.0,64.8
2026-04-27 17:55:00,717560,123.0,0.0733,61.4,17,0,62.9,61.1
2026-04-27 02:00:00,776066,149.0,0.017,69.0,2,0,69.2,53.9
2026-04-30 06:05:00,766749,113.0,0.0506,64.9,6,3,64.2,64.6
2026-04-25 09:45:00,716939,597.0,0.1682,47.3,9,5,41.7,72.7
2026-04-22 07:50:00,767620,124.0,0.078,61.5,7,2,61.5,65.1
2026-04-29 12:35:00,766749,111.0,0.0616,62.8,12,2,62.3,62.2
2026-04-23 21:05:00,764829,253.0,0.0538,66.1,21,3,66.0,60.5
2026-04-21 14:50:00,767882,124.0,0.0745,61.6,14,1,61.1,62.9
2026-04-22 14:45:00,775321,125.0,0.0787,61.5,14,2,61.0,64.6
2026-04-23 00:15:00,775321,16.0,0.0081,65.1,0,3,65.1,63.0
